5021 that
3093 with
2283 said
2042 have
1974 which
1527 would
1256 will
1250 this
1202 been
1172 from
1105 what
1059 there
1047 were
947 when
937 more
858 lydgate
845 about
840 could
822 than
810 dorothea
765 should
726 they
714 some
685 your
674 know
word:medicine freq:13
word:poor freq:243
word:debt freq:39
word:marriage freq:150
word:bliss freq:3
